fbref_id,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
93feac6e,Patrick Bamford,Patrick Bamford,100.0,313.0,,,
1ae30132,Phil Bardsley,Phil Bardsley,100.0,173.0,,,
3a24769f,Ross Barkley,Ross Barkley,100.0,478.0,,,
2691c772,Ashley Barnes,Ashley Barnes,100.0,440.0,,,
487d9b09,Antonio Barragán,Antonio Barragán,100.0,71.0,,,
75783f5f,Modou Barrow,Modou Barrow,100.0,34.0,,,
7dbbe367,Gareth Barry,Gareth Barry,100.0,124.0,,,
93bfa675,Joey Barton,Joey Barton,100.0,37.0,,,
8c44e37b,Borja Bastón,Borja González Tomás,86.0,34.0,1.0,,
2973d8ff,Michy Batshuayi,Michy Batshuayi,100.0,190.0,,,
7b4de647,Asmir Begović,Asmir Begović,100.0,199.0,,,
d3d758d8,Valon Behrami,Valon Behrami,100.0,48.0,,,
f874dd44,Héctor Bellerín,Héctor Bellerín,100.0,449.0,,,
8309b068,Yohan Benalouane,Yohan Benalouane,100.0,28.0,,,
ab070c55,Christian Benteke,Christian Benteke,100.0,459.0,,,
5c59bc47,Jonathan Benteke,Jonathan Benteke,100.0,1.0,,,
25b166d0,Saido Berahino,Saido Berahino,100.0,46.0,,,
f72293fc,Jóhann Berg Guðmundsson,Jóhann Berg Gudmundsson,96.0,416.0,,,
01226327,Ryan Bertrand,Ryan Bertrand,100.0,439.0,,,
7f4f3e49,Mame Biram Diouf,Mame Biram Diouf,100.0,150.0,,,
691bef82,Daley Blind,Daley Blind,100.0,126.0,,,
715fc0fe,Yannick Bolasie,Yannick Bolasie,100.0,80.0,,,
61abe9b6,Wilfried Bony,Wilfried Bony,100.0,62.0,,,
ef5b337e,Fabio Borini,Fabio Borini,100.0,49.0,,,
34ccf6fa,Artur Boruc,Artur Boruc,100.0,166.0,,,
b0c71810,Sofiane Boufal,Sofiane Boufal,100.0,129.0,,,
79c84d1c,Jarrod Bowen,Jarrod Bowen,100.0,724.0,,,
0a9048ce,George Boyd,George Boyd,100.0,92.0,,,
96bb8cc2,Robbie Brady,Robbie Brady,100.0,191.0,,,
10072610,Claudio Bravo,Claudio Bravo,100.0,94.0,,,
356a9a62,Miguel Britos,Miguel Britos,100.0,96.0,,,
b92dd711,Leon Britton,Leon Britton,100.0,42.0,,,
ec7e6ad1,Chris Brunt,Chris Brunt,100.0,180.0,,,
cc70a1d5,Jack Butland,Jack Butland,100.0,177.0,,,
1bf811d4,Sam Byram,Sam Byram,100.0,86.0,,,
a179d516,Willy Caballero,Willy Caballero,100.0,104.0,,,
ad7b19ef,Yohan Cabaye,Yohan Cabaye,100.0,164.0,,,
e94d79e3,Martín Cáceres,Martín Cáceres,100.0,2.0,,,
7914b9fe,Gary Cahill,Gary Cahill,100.0,377.0,,,
6922f806,Jonathan Calleri,Jonathan Calleri,100.0,23.0,,,
59e6e5bf,Dominic Calvert-Lewin,Dominic Calvert-Lewin,100.0,687.0,,,
1a160ea3,Geoff Cameron,Geoff Cameron,100.0,91.0,,,
81d63375,Fraizer Campbell,Fraizer Campbell,100.0,16.0,,,
a65ce836,Emre Can,Emre Can,100.0,196.0,,,
5acc4a10,Étienne Capoue,Etienne Capoue,93.0,336.0,,,
6dbe8f69,Baily Cargill,Baily Cargill,100.0,1.0,,,
ab7263c1,Michael Carrick,Michael Carrick,100.0,46.0,,,
b581987a,Andy Carroll,Andy Carroll,100.0,181.0,,,
5a1900a4,Tom Carroll,Tom Carroll,100.0,137.0,,,
881e5db7,Joel Castro Pereira,Joel Dinis Castro Pereira,95.0,6.0,,,
89e4b358,Craig Cathcart,Craig Cathcart,100.0,265.0,,,
538e77d5,Lee Cattermole,Lee Cattermole,100.0,12.0,,,
e2e9c250,Santi Cazorla,Santiago Cazorla,90.0,38.0,,,
71672fa0,Petr Čech,Petr Cech,89.0,282.0,1.0,,
5b54bf3b,Nacer Chadli,Nacer Chadli,100.0,125.0,,,
422862ea,Nathaniel Chalobah,Nathaniel Chalobah,100.0,72.0,,,
dc6f5bdd,Calum Chambers,Calum Chambers,100.0,301.0,,,
d2424d1b,Ben Chilwell,Ben Chilwell,100.0,604.0,,,
49b05a83,Lee Chung-yong,Chung-yong Lee,95.0,32.0,,,
31c01b85,Jordy Clasie,Jordy Clasie,100.0,38.0,,,
45b59689,Adam Clayton,Adam Clayton,100.0,70.0,,,
6cdd8245,Tom Cleverley,Tom Cleverley,100.0,219.0,,,
450ad405,Gaël Clichy,Gaël Clichy,100.0,87.0,,,
987718f5,Sam Clucas,Sam Clucas,100.0,162.0,,,
0442183b,Nathaniel Clyne,Nathaniel Clyne,100.0,342.0,,,
0420d84f,Séamus Coleman,Seamus Coleman,93.0,597.0,,,
c61f1719,James Collins,James Collins,100.0,105.0,,,
2afc7272,Lewis Cook,Lewis Cook,100.0,261.0,,,
3e5e4e63,Steve Cook,Steve Cook,100.0,352.0,,,
a6951bf8,Francis Coquelin,Francis Coquelin,100.0,59.0,,,
74e12f1e,Jack Cork,Jack Cork,100.0,391.0,,,
a190d597,Diego Costa,Diego Da Silva Costa,100.0,229.0,,,
1840e36d,Thibaut Courtois,Thibaut Courtois,100.0,277.0,,,
0ef89a37,Philippe Coutinho,Philippe Coutinho Correia,95.0,391.0,,,
4f974391,Aaron Cresswell,Aaron Cresswell,100.0,641.0,,,
73d9bdc7,Peter Crouch,Peter Crouch,100.0,160.0,,,
9d107085,Charlie Daniels,Charlie Daniels,100.0,275.0,,,
52105203,Scott Dann,Scott Dann,100.0,206.0,,,
96e0490d,Matteo Darmian,Matteo Darmian,100.0,111.0,,,
44781702,Ben Davies,Ben Davies,100.0,630.0,,,
607fb965,Curtis Davies,Curtis Davies,100.0,38.0,,,
9228b07c,Tom Davies,Tom Davies,100.0,299.0,,,
